Company,Job Title,URL Link
"MEDLINK PRESTIGE GROUP, INC.",Medical Doctor,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Crxq0F0ID-6x-aibCSfKv2pRTcY959j3j522s9UXHyVKc8vjaXtzJaCOQfT8HhoroShz8kWletZ8zef8jl910fMdiuSgQrh_YAi3oPzjOuLvnmx1PbmBXvNp3pFwmlyClbhnkCMdZe8euR008yAMTdXDufzlQwnpH8IdpYjG-DfSVpMjIeXq53W8Auso9vTlStMhK-VE_LnNWqHmfvzDOE7l8Nx2gtZTABFX4rbDkerBASq0LBiINgvpKDhsbl2P_T-gzkSXwwLFeJWdoOUFAQLq6RBYpUBAyKDr0lCx28nMVsxKb5ZN3MMSgo8i7cKPyra4Icn8_e3-kKp7j3ZIeVKZtygEc6CJE0TLoo7mrhNJzHUiiVawMwZsR4iGltj-H7IVuvHTKPWq59W1yIQG6g5nBoZbhWuqMWEzW9058YYzGiv_pbSP2q68qLEJxL_Hd9ZsUEMo5vCA==&p=0&fvj=1&vjs=3
california chest and medical center,Pulmonary and Critical care MD,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CqSoKsAbNVFf5JQiad9cDc_Q8HsX3mGCB5bZZ5XPCaeVrVQUTNdUVYL52uTHTtgRQdWFHdxi2Ncj4LoPOGTyBE7gr5Olu0FJZyiroE-3_tA_h18G7lqBkEHQ5NnmqzR9NEXpkS3KdfdPygOPgGQBlTxa4-Eli7VMZg4faJROkvwCAWVB555H_-SLWXq1miT7P8Vad4Qf7NqSX7tnTJl6hPqLciOSBBShG7UpOuReWBbJle1XEZjfJK7FjQLJ2wqMOjmnuSMA0fGoDSnpifaAl7FXtgFIKse3be6TdgG2JlMw2lmtbbsE3DUsE3v6E5KGFtQn8R2o2vZbF3Che2ew8m_JkgCUKK3OrJdbBFl3kPeoTNUygAGBYXXn1vyQ_SHJ2MSz_676qbZs7zDOkczge340CLwAcbimyNTiYYfaKToV6vOGmb6Mi3oJU-xtGny3S6f8xfIjgN3uCtj0ABRPbM&p=1&fvj=1&vjs=3
Haig Chiropractic Corp,"Chiropractor Glendale, CA",www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DUVh37H0VbpMDkkccI06NLReHsJ28uVDrRgq_2KDx6BraRRJGrP0U1eUwqUYbzHEnzfwfFqWt8mvZ0tpWxVea7EgpQVWyiB4mjFFR53FMg6r2Dkj71-djRmuTWefl4B7ru3Ih6Mm-yaMw39R1gSarDSxTaYJROyKxzpTjc_UVB3rqFMg5TbMnQVLfOtZ0tKZoBGYgIduq22qwwoNJV0cxb_kReUmx-ChhV0W4PeUi9RZdGL8nnMJM5pkB6kn7vMeXO5N9kcbPed2DFLd6ylfH7FKJCZD6XRVpF2QSG9XqccoTk13qq62MJiOdxI3d4RcI0_Esr9UZ0_IwYcOit9Xza1nC4DfEUxk5eZeF0tFo-uO5E9DzPo_JB6pksxNmGpvXQucjeWnxNnFLzNNQc12Zccvjeo0Nwq6ow1lo2i8kA0C6ssljb22vQKBzjKH7kfDKpmSl0YMtuIiBOXJGFrTL6wYMsh1lFv1k=&p=2&fvj=1&vjs=3
ACCESS South Bay,Doctor's Assistant,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cm3xIjRpTwfMeJ7tXoUmGlzOt1vgRSTZ3pm_z2AlgiGZdI0AO05GWkMmHqFhICtAU-oDXAG1V2ZaSV45iIUn2XKvy4TSeRrVzHIRG3hl6c6YA7-vnD8lsZwHP8GcY2OY8dLgqC4wYh_IUi5u1ogs01LJFAbPXzjhNLfKFEvDC53MKGkf8YrVtAXbL8vpXzmU8t5wLWPpB2-V2IvS6db2nUJMQ1KHp5wVW7_oqSXJ3YEXUrba1uY55ZfVE_m0ZuqpuVfP7YszfpNJgfQxVPLWZ5o8vpWH4fI901KXIYdXuJTKpniTcv60tqyjXuRtEsIdBRKTgqGxjqiRH8zX95tncQ8qXI6yvSwscAB2M794HtG8kkxKJQtXcuhaweG996mJXYCKLcX9e0RTbctjTIAfnQKWtp7x-NnU3c8dtwfkNUDEIdXevdZ1bhTtMJ_PcmHcSykLQzItbP5s3a3AHay7HB&p=3&fvj=1&vjs=3
Gentle Care Dental,Associate Dentist,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXRTEq_WjFf9ASKVcDc9AY69QzE3dAO4hvt3V1GGTeUT-9zWulZzQOtk6ffA6CHaKbC8iady9gJNJoAkgL-yzJ1OYImSWVhGEwYAh5D6ES4vX28H6zShIeM-mbt51dPQy5rSOpkoHig4aGyujFQSa3jcsAcxSijpdkFb8X8jaiWeAMDLpWGqGWRLl9gg2YIzryYoMp_U2vx0-aBIr-tovjA4dAboAwzZZpZozDYO-I_Wa6-VMwVBwtZDxvRHxgCrCo3ZAbVnbARuYRZnrsbgY1GRSe6m8Q1bJG5cpRe2e2DENovKqAjfyzWnb8jgR8r_cUHPiWPvc4-5MaKNJDEUvld_Q5XvnZ2EEbKZivhFn2fP1wdIupoANWIVcAQNEqwGMiToacJpeUk2Wbg29_aYGpfbcjONo1A8e20kt0T7arO3LbgTr8Q3lz9n0-e6UmyFhSmWyOz11JjA==&p=4&fvj=1&vjs=3
ACCESS Specialty Animal Hospital - Los Angeles,Doctor's Assistant,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJQEpG7lPTp1XeVW2JazBu8qQl37ybUHUW3dU-ElzRpSSYG7n0HaEYsgAPDz9rbtGr10bmdgOw1qK21hpDrzDYY6mWKoM-utEAUDyQMGkmriF5t7-mhbqm2pp2iozOteNUykHnLyV0A_EXyJ8dNLIP2-aQZTEX-1r8vMmr574oI1DfBXaGzBeslA23hi0KbCMOdDVY4AwhDjhJ9S-PBiBhxpJ9Z1WtkcDyBSs4MVbMNxs0hp5DAVzsHZVAdTsfjuRhe26mQMkeSGP9gfrvg9Qg-2gHAZhGREeaoDdur0_f1DzgzJOhYyL2GqvDns7gMZ2T_q0RayPoErm-uMutXsYp-HdUuEjMmSCsxl-pn0EB6cp4QGSPMGJZAlyql6wTBcSSrDyVFwvkCJrhJydHntQ8m6c6_iX0D7Sybp7hN2Em2XqaIqi_wFUta5EPKIXrbPT-nuxOCmJU1yFcqtq4eOyV&p=5&fvj=1&vjs=3
Dr. Rahi,Office Manager,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzyrecDWp2rZuJHdQZZOXCZb3XEhEAajfT6T8NML3StEDnGf_nTbZa94VQKdTZZ7GIWPFg1o0JEb8bAc7xVjNw3dSv8PdBYdstR4rBnaw8lrQVSGQpx9K1srV0XZ9kwMoxpRZmAFbDgm-sm047cNJtsfYrMfJsAPzzJIbvA8XZyj5_5NQVRmnUwIrG9AN5b8mJo-Qt4VzGVfGNmyj081aWa_EtHRDOU-BqK4A7BQZBHvw52KNRlr6Cnv_a20tcUEId0SK0qAvNs6a_P-VomDrKWuyPOSmrda4QD-Js5ea6y3xhV2nSBsT7hWU8IJbBPCXuc1OIJ8Tipy5-GY1yFEr8X0tMAU8DrdddN5L3B3EgUjUzWRLlFsN4QdFAcfTI1QE5WMU5GCwzxR51CUz4KlCuk_U5oHWEHVn30_fCuO9OMK1lsCPLrlm75CjHEIdcOGaVyhqJWAyZCMui7Sq23JIZ7ExG39JdnVt-hsUzNc6DbA==&p=16&fvj=1&vjs=3
VCA Animal Hospitals,Kennel Assistant,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CVGp_p0JCgzlWLSkSqkMNdJGBNvb4w5h5gK7Gb-9K9VyQwRpTwb7YxVhrBWD7UYKOlExPmivPn_mVl787ZfuoFeB3XFRWQ-7ksgCerA8SmpSxxgwxgK4R6fQPrx96ZRtPnr3OwdRA0TNfjLLkQPZyWTYjXVNiZKI2mz_teV2rRRaS7ljMv4tDJXXFoeiDcJ8lXiV-LwfrOvzE5bIGOpdyoUOOihFudT33YXWj-J00MgdH-2QABfpONVFvOaIVuW9sC2aS_qSZZ7YnCAevEtLEqFKnEB3rof86Ibuf3wFYgvk3WdtZiwY6JIHKry-FXMLwfj_96ff_-jFoukDD31_Tg7YE6oqAJrlptk8ML6kVAcGkllRPufjkmjY6cblOH0ZGDjFT9XnPXydzeIWJlwUW3V15_67MXH8esRrSF2V3WLHquiISyZ-L5bB0rEx-V83hgGImiruvCdYObCG79sTPymX_ktVxjv1A=&p=17&fvj=1&vjs=3
Kaiser Permanente,Kitchen Worker,
OnTrac,"Part-Time Package Handler - Commerce,CA",
LA Natural Health,Naturopathic Doctor,
"Medical Office of Mark J. Kelly, M.D., Inc",Front Desk Manager/Receptionist,
HBO Max,Executive Admin Assistant - HBO Max,
OnTrac,"PT Package Handler-Commerce, CA",
Elihu Institute,Office Assistant,
Alto Pharmacy,"Courier, Los Angeles",
Prohealth Medical Group,Medical Doctor Urgent Care Sports Medicine,
Silver Lake Psychology,Medical Receptionist/ Mental Health,
